objectid,parentid,filename,title,format,filesize,date,description,destinations,location,latitude,longitude,type,language,rights,rightsstatement
hazel011journal,,hazel011journal.jpg,1964 Red Oak Errands Outing,multiple,1.1 MB,1964-01-02,Journal entry by Hazel describing her outing.,"Red Oak, Iowa, USA","Red Oak, Iowa, USA",41.0036,-95.2419,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel012journal,,hazel012journal.jpg,1969 Midwestern US Trip,multiple,1.2 MB,1969-09-11,Journal entry by Hazel describing her 12-day trip.,"Iowa City, Iowa, USA; Milwaukee, Wisconsin, USA; Cleveland, Ohio, USA","Iowa City, Iowa, USA",43.0389,-87.9065,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel013journal,,hazel013journal.jpg,1972 Winter in Texas and Mexico Trip,multiple,1.3 MB,1972-11-24,Journal entry by Hazel describing her 129-day trip.,"Emporia, Kansas, USA; Caney, Kansas, USA; Mission, Texas, USA; Brownsville, Texas, USA; Matamoros, Tamaulipas, MEX; Padre Island, Texas, USA; Pharr, Texas, USA; McAllen, Texas, USA","Caney, Kansas, USA ",37.0138,-95.9313,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel014journal,,hazel014journal.jpg,1974 Winter in Texas Trip,multiple,1.1 MB,1974-03-27,Journal entry by Hazel describing her 143-day trip.,"Mission, Texas, USA; McAllen, Texas, USA; Henderson, Texas, USA; Perryville, Arkansas, USA; Tipton, Missouri, USA; Kansas City, Missouri, USA; Clarinda, Iowa, USA
","Mission, Texas, USA",26.2124,-98.3182,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel015journal,,hazel015journal.jpg,1977 Wisconsin and Illinois Trip,multiple,1 MB,1977-09-30,Journal entry by Hazel describing her 4-day trip.,"Lake Geneva, Wisconsin, USA; Milwaukee, Wisconsin, USA; Galesburg, Illinois, USA; Macomb, Illinois, USA","Geneva, Wisconsin, USA",42.5924,-88.4344,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel001transcript,hazel001journal,hazel001transcript.pdf,Transcription of 1954 Southeastern US Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel002transcript,hazel002journal,hazel002transcript.pdf,Transcription of 1955 South Central US and Mexico Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel003transcript,hazel003journal,hazel003transcript.pdf,Transcription of 1956 West and Southwest US Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel004transcript,hazel004journal,hazel004transcript.pdf,Transcription of 1957 North and Northwest US and Central Canada Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel005transcipt,hazel005journal,hazel005transcript.pdf,Transcription of 1958 Iowa and Wisconsin Trip,application/pdf,16 KB,,,,,,,Text,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
